date,hour,link,token,price,title,description
2024-06-24,10:33:46,https://www.yad2.co.il/realestate/item/a4cfh5nu?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=541,a4cfh5nu,"11,000,000 ₪","נווה מגן
מגרשים, נווה מגן, רמת השרון
קומה קרקע • 500 מ״ר","מגרשים, נווה מגן, רמת השרון"
2024-06-24,10:33:47,https://www.yad2.co.il/realestate/item/fz7bneex?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=541,fz7bneex,"7,770,000 ₪","דירה, הוד השרון
5 חדרים • קומה 1 • 270 מ״ר","דירה, הוד השרון"
2024-06-24,10:33:47,https://www.yad2.co.il/realestate/item/8cfkflmx?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=541,8cfkflmx,"3,390,000 ₪","דירה, הוד השרון
4 חדרים • קומה 3 • 100 מ״ר","דירה, הוד השרון"
2024-06-24,10:33:47,https://www.yad2.co.il/realestate/item/w7m7bz36?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=541,w7m7bz36,"3,400,000 ₪","גני צהלה, רמות צהלה
דירה, גני צהלה, רמות צהלה, תל אביב יפו
2.5 חדרים • קומה 2 • 55 מ״ר","דירה, גני צהלה, רמות צהלה, תל אביב יפו"
2024-06-24,10:33:48,https://www.yad2.co.il/realestate/item/bm8crc4g?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=541,bm8crc4g,"1,850,000 ₪","בורוכוב
דירה, בני ברק
3 חדרים • קומה 3 • 67 מ״ר","דירה, בני ברק"
2024-06-24,10:33:48,https://www.yad2.co.il/realestate/item/322pwmpc?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=541,322pwmpc,"14,000,000 ₪","לב תל אביב, לב העיר צפון
גג/ פנטהאוז, לב תל אביב, לב העיר צפון, תל אביב יפו
3 חדרים • קומה 6 • 90 מ״ר","גג/ פנטהאוז, לב תל אביב, לב העיר צפון, תל אביב יפו"
2024-06-24,10:33:49,https://www.yad2.co.il/realestate/item/u8oymn03?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=541,u8oymn03,"1,070,000 ₪","נאות יצחק רבין
דירה, נאות יצחק רבין, שדרות
4 חדרים • קומה 2 • 90 מ״ר","דירה, נאות יצחק רבין, שדרות"
2024-06-24,10:33:49,https://www.yad2.co.il/realestate/item/c2iknxwa?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=541,c2iknxwa,"8,300,000 ₪","רציף הרברט סמואל
דירה, כרם התימנים, תל אביב יפו
3 חדרים • קומה 15 • 90 מ״ר","דירה, כרם התימנים, תל אביב יפו"
2024-06-24,10:33:49,https://www.yad2.co.il/realestate/item/yh8kdeiq?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=541,yh8kdeiq,"2,000,000 ₪","הרב רובינשטיין
דירה, יפו ד', גבעת התמרים, תל אביב יפו
3 חדרים • קומה 7 • 65 מ״ר","דירה, יפו ד', גבעת התמרים, תל אביב יפו"
2024-06-24,10:33:49,https://www.yad2.co.il/realestate/item/5v7u8lt3?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=541,5v7u8lt3,"5,100,000 ₪","בית פרטי/ קוטג', קדימה צורן
6 חדרים • קומה קרקע • 145 מ״ר","בית פרטי/ קוטג', קדימה צורן"
2024-06-24,10:33:50,https://www.yad2.co.il/realestate/item/605fjngl?opened-from=feed&component-type=main_feed&spot=standard&location=11&pagination=541,605fjngl,"6,980,000 ₪","אקסודוס
בית פרטי/ קוטג', נתניה
7 חדרים • קומה קרקע • 383 מ״ר","בית פרטי/ קוטג', נתניה"
2024-06-24,10:33:51,https://www.yad2.co.il/realestate/item/8xms5p9u?opened-from=feed&component-type=main_feed&spot=standard&location=12&pagination=541,8xms5p9u,"12,000,000 ₪","משק חקלאי/ נחלה, עשרת
קומה קרקע • 17000 מ״ר","משק חקלאי/ נחלה, עשרת"
2024-06-24,10:33:51,https://www.yad2.co.il/realestate/item/b1x8wjhr?opened-from=feed&component-type=main_feed&spot=standard&location=13&pagination=541,b1x8wjhr,"1,420,000 ₪","רש""ל
דירה, באר שבע
4 חדרים • קומה 1 • 120 מ״ר","דירה, באר שבע"
2024-06-24,10:33:52,https://www.yad2.co.il/realestate/item/amkg5cxy?opened-from=feed&component-type=main_feed&spot=standard&location=14&pagination=541,amkg5cxy,"1,850,000 ₪","ההסתדרות
דירה, חולון
3 חדרים • קומה 1 • 60 מ״ר","דירה, חולון"
2024-06-24,10:33:52,https://www.yad2.co.il/realestate/item/vtqmgl2u?opened-from=feed&component-type=main_feed&spot=standard&location=15&pagination=541,vtqmgl2u,"2,530,000 ₪","דירת גן, תל מונד
3 חדרים • קומה קרקע • 75 מ״ר","דירת גן, תל מונד"
2024-06-24,10:33:53,https://www.yad2.co.il/realestate/item/jaqq7xyz?opened-from=feed&component-type=main_feed&spot=standard&location=16&pagination=541,jaqq7xyz,"14,900,000 ₪","רמת אביב ג'
גג/ פנטהאוז, רמת אביב ג', תל אביב יפו
5 חדרים • קומה 9 • 320 מ״ר","גג/ פנטהאוז, רמת אביב ג', תל אביב יפו"
2024-06-24,10:33:53,https://www.yad2.co.il/realestate/item/0fmyv4r8?opened-from=feed&component-type=main_feed&spot=standard&location=17&pagination=541,0fmyv4r8,לא צוין מחיר,"מוטה גור
דירה, חולון
4 חדרים • קומה 3 • 112 מ״ר","דירה, חולון"
2024-06-24,10:33:54,https://www.yad2.co.il/realestate/item/3ug4fpr8?opened-from=feed&component-type=main_feed&spot=standard&location=18&pagination=541,3ug4fpr8,"4,700,000 ₪","גג/ פנטהאוז, ראשון לציון
6 חדרים • קומה 6 • 240 מ״ר","גג/ פנטהאוז, ראשון לציון"
2024-06-24,10:33:54,https://www.yad2.co.il/realestate/item/bvl2rz2j?opened-from=feed&component-type=main_feed&spot=standard&location=19&pagination=541,bvl2rz2j,"2,450,000 ₪","יפת 96
דירה, עג'מי, גבעת העליה, תל אביב יפו
3.5 חדרים • קומה 1 • 68 מ״ר","דירה, עג'מי, גבעת העליה, תל אביב יפו"
2024-06-24,10:33:55,https://www.yad2.co.il/realestate/item/gcephfkt?opened-from=feed&component-type=main_feed&spot=standard&location=20&pagination=541,gcephfkt,"2,700,000 ₪","הל""ה
דירה, גבעתיים
2.5 חדרים • קומה 2 • 70 מ״ר","דירה, גבעתיים"
2024-06-24,10:33:55,https://www.yad2.co.il/realestate/item/hdm3mb2d?opened-from=feed&component-type=main_feed&spot=standard&location=21&pagination=541,hdm3mb2d,"3,100,000 ₪","דרך זאב ז'בוטינסקי
דירה, רמת גן
3 חדרים • קומה 2 • 88 מ״ר","דירה, רמת גן"
2024-06-24,10:33:56,https://www.yad2.co.il/realestate/item/yl4mlsx2?opened-from=feed&component-type=main_feed&spot=standard&location=22&pagination=541,yl4mlsx2,"1,850,000 ₪","לוי אשכול
דירה, נתניה
4 חדרים • קומה 3 • 80 מ״ר","דירה, נתניה"
2024-06-24,10:33:56,https://www.yad2.co.il/realestate/item/tv7nwxpj?opened-from=feed&component-type=main_feed&spot=standard&location=23&pagination=541,tv7nwxpj,"5,300,000 ₪","הכרם
גג/ פנטהאוז, ב' / צפון מערב העיר, רחובות
6 חדרים • קומה 7 • 141 מ״ר","גג/ פנטהאוז, ב' / צפון מערב העיר, רחובות"
2024-06-24,10:33:58,https://www.yad2.co.il/item/2_98_8705?site=_inres_x1_l_15303_o_ws_ListingPro_23587,2_98_8705,"1,500,000 ₪","AQUA PARK עכו
דירה, שאר העיר, עכו
3 חדרים",N/A
2024-06-24,10:34:00,https://www.yad2.co.il/item/2_98_8261?site=_inres_x1_l_16308_o_ws_ListingBasic_18903,2_98_8261,"3,390,000 ₪","בן שפרוט 21 תל אביב
דירה, הצפון החדש - כיכר המדינה, תל אביב יפו
2 חדרים • קומה 4 • 49 מ״ר",N/A
2024-06-24,10:34:00,https://www.yad2.co.il/item/2_98_9566?site=_inres_x1_l_16309_o_ws_ListingBasic_18979,2_98_9566,"5,530,000 ₪","יגור
גג/ פנטהאוז, יד אליהו, תל אביב יפו
4 חדרים",N/A
2024-06-24,10:34:00,https://www.yad2.co.il/item/2_98_8470?site=_inres_x1_l_16310_o_ws_ListingBasic_23549,2_98_8470,"3,300,000 ₪","יהלום
דירה, מרכז, כפר סבא
4 חדרים • קומה 2 - 9 • 95 - 104 מ״ר",N/A
