date,hour,link,token,price,title,description
2024-06-24,10:27:16,https://www.yad2.co.il/realestate/item/u1k0vweu?opened-from=feed&component-type=main_feed&spot=platinum&location=1&pagination=5,u1k0vweu,"5,950,000 ₪","מרכז הישוב
בית פרטי/ קוטג', מרכז הישוב, גני תקווה
5 חדרים • קומה קרקע • 165 מ״ר","בית פרטי/ קוטג', מרכז הישוב, גני תקווה"
2024-06-24,10:27:16,https://www.yad2.co.il/realestate/item/ayct9rgw?opened-from=feed&component-type=main_feed&spot=platinum&location=2&pagination=5,ayct9rgw,"3,620,000 ₪","רבי יהודה הנשיא
דירה, עליות, רמת גן
5 חדרים • קומה 1 • 128 מ״ר","דירה, עליות, רמת גן"
2024-06-24,10:27:17,https://www.yad2.co.il/realestate/item/ztd666we?opened-from=feed&component-type=main_feed&spot=platinum&location=3&pagination=5,ztd666we,"2,310,000 ₪","יקינטון
דירה, אשדוד
4 חדרים • קומה 12 • 90 מ״ר","דירה, אשדוד"
2024-06-24,10:27:17,https://www.yad2.co.il/realestate/item/3qzxh933?opened-from=feed&component-type=main_feed&spot=standard&location=4&pagination=5,3qzxh933,"9,800,000 ₪","דרך הזיתים 21
בית פרטי/ קוטג', צוקי ים, צוקי ים
1 חדרים • קומה קרקע • 672 מ״ר","בית פרטי/ קוטג', צוקי ים, צוקי ים"
2024-06-24,10:27:17,https://www.yad2.co.il/realestate/item/s2dz5edv?opened-from=feed&component-type=main_feed&spot=standard&location=5&pagination=5,s2dz5edv,"2,780,000 ₪","אורנה פורת 25
דירה, הרקפות, ראשון לציון
4 חדרים • קומה 4 • 120 מ״ר","דירה, הרקפות, ראשון לציון"
2024-06-24,10:27:17,https://www.yad2.co.il/realestate/item/jdn2l2tv?opened-from=feed&component-type=main_feed&spot=standard&location=6&pagination=5,jdn2l2tv,"2,390,000 ₪","האם 9
דירה, נווה יהושע, ערמונים, רמת גן
3 חדרים • קומה קרקע • 68 מ״ר","דירה, נווה יהושע, ערמונים, רמת גן"
2024-06-24,10:27:17,https://www.yad2.co.il/realestate/item/80e9rlh8?opened-from=feed&component-type=main_feed&spot=standard&location=7&pagination=5,80e9rlh8,"7,850,000 ₪","רב אלוף דן שומרון 34
בית פרטי/ קוטג', קרית קריניצי, רמת גן
7 חדרים • קומה קרקע • 256 מ״ר","בית פרטי/ קוטג', קרית קריניצי, רמת גן"
2024-06-24,10:27:17,https://www.yad2.co.il/realestate/item/0nmt85qn?opened-from=feed&component-type=main_feed&spot=standard&location=8&pagination=5,0nmt85qn,"2,130,000 ₪","המעפילים 9
דירת גן, רובע ב', אשדוד
4 חדרים • קומה קרקע • 207 מ״ר","דירת גן, רובע ב', אשדוד"
2024-06-24,10:27:17,https://www.yad2.co.il/realestate/item/it8w0elb?opened-from=feed&component-type=main_feed&spot=standard&location=9&pagination=5,it8w0elb,"6,200,000 ₪","אוסישקין 16
בית פרטי/ קוטג', נווה חיים, חדרה
9 חדרים • קומה קרקע • 870 מ״ר","בית פרטי/ קוטג', נווה חיים, חדרה"
2024-06-24,10:27:18,https://www.yad2.co.il/realestate/item/hwj53kpp?opened-from=feed&component-type=main_feed&spot=standard&location=10&pagination=5,hwj53kpp,"10,600,000 ₪","אנטוקולסקי 6
דירת גן, הצפון החדש - דרום, תל אביב יפו
4.5 חדרים • קומה קרקע • 250 מ״ר","דירת גן, הצפון החדש - דרום, תל אביב יפו"
